cla_age_5,sexe,dept,prev,Niveau prioritaire,o3
65-69,2,94,8.724,"1,2,3",31.40821917808219
65-69,9,77,9.519,"1,2,3",35.38904109589041
65-69,9,93,10.12,"1,2,3",32.013698630136986
70-74,1,75,9.352,"1,2,3",29.65205479452055
70-74,1,77,11.366,"1,2,3",35.38904109589041
70-74,1,91,9.656,"1,2,3",34.536986301369865
70-74,2,78,8.804,"1,2,3",35.106849315068494
70-74,9,75,9.118,"1,2,3",29.65205479452055
70-74,9,92,9.075,"1,2,3",31.04383561643836
70-74,9,94,10.157,"1,2,3",31.40821917808219
75-79,1,77,14.297,"1,2,3",35.38904109589041
75-79,1,78,11.568,"1,2,3",35.106849315068494
75-79,1,91,11.659,"1,2,3",34.536986301369865
75-79,2,75,10.072,"1,2,3",29.65205479452055
75-79,2,91,9.458,"1,2,3",34.536986301369865
75-79,2,94,10.655,"1,2,3",31.40821917808219
75-79,2,95,11.153,"1,2,3",35.342465753424655
75-79,9,75,10.555,"1,2,3",29.65205479452055
75-79,9,78,10.546,"1,2,3",35.106849315068494
75-79,9,93,13.369,"1,2,3",32.013698630136986
80-84,1,75,12.321,"1,2,3",29.65205479452055
80-84,1,78,12.655,"1,2,3",35.106849315068494
80-84,1,91,13.184,"1,2,3",34.536986301369865
80-84,1,94,14.204,"1,2,3",31.40821917808219
80-84,1,95,14.476,"1,2,3",35.342465753424655
80-84,2,75,10.503,"1,2,3",29.65205479452055
80-84,2,92,10.686,"1,2,3",31.04383561643836
80-84,2,93,13.028,"1,2,3",32.013698630136986
80-84,2,94,11.297,"1,2,3",31.40821917808219
80-84,9,75,11.233,"1,2,3",29.65205479452055
80-84,9,78,11.298,"1,2,3",35.106849315068494
80-84,9,91,11.625,"1,2,3",34.536986301369865
85-89,1,75,12.934,"1,2,3",29.65205479452055
85-89,1,92,12.889,"1,2,3",31.04383561643836
35-39,2,75,0.016,2,29.65205479452055
35-39,2,92,0.022,2,31.04383561643836
35-39,9,77,0.018,2,35.38904109589041
35-39,9,78,0.019,2,35.106849315068494
35-39,9,92,0.018,2,31.04383561643836
35-39,9,93,0.014,2,32.013698630136986
40-44,1,75,0.031,2,29.65205479452055
40-44,1,91,0.041,2,34.536986301369865
40-44,1,92,0.043,2,31.04383561643836
40-44,2,91,0.025,2,34.536986301369865
40-44,2,92,0.024,2,31.04383561643836
40-44,9,75,0.024,2,29.65205479452055
40-44,9,91,0.033,2,34.536986301369865
45-49,1,75,0.083,2,29.65205479452055
45-49,2,75,0.057,2,29.65205479452055
45-49,2,92,0.056,2,31.04383561643836
45-49,9,77,0.08,2,35.38904109589041
45-49,9,91,0.067,2,34.536986301369865
45-49,9,93,0.082,2,32.013698630136986
45-49,9,95,0.088,2,35.342465753424655
50-54,1,78,0.172,2,35.106849315068494
50-54,1,92,0.157,2,31.04383561643836
50-54,2,92,0.112,2,31.04383561643836
50-54,9,75,0.161,2,29.65205479452055
50-54,9,78,0.161,2,35.106849315068494
50-54,9,95,0.147,2,35.342465753424655
55-59,1,75,0.3,2,29.65205479452055
55-59,1,95,0.379,2,35.342465753424655
55-59,2,75,0.267,2,29.65205479452055
55-59,2,77,0.333,2,35.38904109589041
55-59,2,92,0.277,2,31.04383561643836
55-59,2,95,0.262,2,35.342465753424655
55-59,9,77,0.349,2,35.38904109589041
55-59,9,93,0.331,2,32.013698630136986
55-59,9,95,0.318,2,35.342465753424655
60-64,1,75,0.636,2,29.65205479452055
60-64,1,77,0.71,2,35.38904109589041
60-64,1,92,0.63,2,31.04383561643836
60-64,9,94,0.552,2,31.40821917808219
65-69,1,75,0.924,2,29.65205479452055
65-69,1,77,1.063,2,35.38904109589041
65-69,1,78,0.911,2,35.106849315068494
65-69,1,92,0.959,2,31.04383561643836
65-69,2,75,0.604,2,29.65205479452055
65-69,2,78,0.463,2,35.106849315068494
65-69,2,92,0.513,2,31.04383561643836
65-69,9,75,0.749,2,29.65205479452055
65-69,9,78,0.674,2,35.106849315068494
65-69,9,93,0.773,2,32.013698630136986
65-69,9,95,0.663,2,35.342465753424655
70-74,1,75,1.219,2,29.65205479452055
70-74,1,78,1.081,2,35.106849315068494
70-74,1,93,1.318,2,32.013698630136986
70-74,1,94,1.159,2,31.40821917808219
70-74,1,95,1.08,2,35.342465753424655
70-74,2,91,0.478,2,34.536986301369865
70-74,9,77,0.822,2,35.38904109589041
70-74,9,78,0.786,2,35.106849315068494
70-74,9,91,0.814,2,34.536986301369865
70-74,9,92,0.866,2,31.04383561643836
70-74,9,95,0.765,2,35.342465753424655
75-79,1,77,1.398,2,35.38904109589041
75-79,1,91,1.221,2,34.536986301369865
75-79,1,92,1.263,2,31.04383561643836
75-79,2,77,0.521,2,35.38904109589041
75-79,2,95,0.472,2,35.342465753424655
75-79,9,77,0.925,2,35.38904109589041
75-79,9,91,0.831,2,34.536986301369865
75-79,9,95,0.883,2,35.342465753424655
80-84,1,75,1.068,2,29.65205479452055
