cla_age_5,sexe,dept,Ntop,Npop,prev,Niveau prioritaire,no2,o3,pm10
35-39,1,94,1040.0,44550,2.332,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
35-39,2,78,1380.0,50430,2.745,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
35-39,9,91,2420.0,85640,2.822,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
35-39,9,93,3560.0,114710,3.107,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
35-39,9,0,22630.0,843690,2.682,"1,2,3",,,
40-44,1,77,1440.0,44370,3.248,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
40-44,1,78,1320.0,46970,2.806,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
40-44,1,94,1260.0,44520,2.826,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
40-44,1,95,1210.0,40290,2.991,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
40-44,2,77,1910.0,48020,3.984,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
40-44,2,91,1580.0,43600,3.612,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
40-44,2,94,1680.0,47560,3.526,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
40-44,9,77,3350.0,92390,3.63,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
40-44,9,78,2880.0,97160,2.965,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
40-44,9,92,3230.0,112710,2.869,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
45-49,1,77,1810.0,46820,3.866,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
45-49,1,91,1500.0,42640,3.522,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
45-49,1,93,1890.0,50540,3.729,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
45-49,1,95,1440.0,39810,3.61,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
45-49,1,0,13400.0,394760,3.395,"1,2,3",,,
45-49,2,77,2520.0,50360,4.996,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
45-49,2,78,1950.0,51890,3.756,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
45-49,2,0,17760.0,417080,4.259,"1,2,3",,,
45-49,9,91,3370.0,87900,3.838,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
45-49,9,92,3750.0,109520,3.426,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
45-49,9,93,4590.0,101670,4.516,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
45-49,9,95,3390.0,81380,4.169,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
45-49,9,0,31160.0,811840,3.839,"1,2,3",,,
50-54,1,75,2530.0,66170,3.819,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
50-54,1,93,2350.0,48030,4.887,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
50-54,1,94,1800.0,42450,4.233,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
50-54,1,0,15800.0,378680,4.171,"1,2,3",,,
50-54,2,77,2820.0,47700,5.92,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
50-54,2,78,2330.0,50140,4.645,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
50-54,2,91,2240.0,43750,5.117,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
50-54,2,92,2590.0,55260,4.695,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
50-54,2,94,2470.0,46450,5.309,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
50-54,2,0,21230.0,405690,5.232,"1,2,3",,,
